id,name,height,weight,base_experience,type
754,lurantis,9,185,168,grass
755,morelull,2,15,57,"grass, fairy"
756,shiinotic,10,115,142,"grass, fairy"
757,salandit,6,48,64,"poison, fire"
758,salazzle,12,222,168,"poison, fire"
759,stufful,5,68,68,"normal, fighting"
760,bewear,21,1350,175,"normal, fighting"
761,bounsweet,3,32,42,grass
762,steenee,7,82,102,grass
763,tsareena,12,214,230,grass
764,comfey,1,3,170,fairy
765,oranguru,15,760,172,"normal, psychic"
766,passimian,20,828,172,fighting
767,wimpod,5,120,46,"bug, water"
768,golisopod,20,1080,186,"bug, water"
769,sandygast,5,700,64,"ghost, ground"
770,palossand,13,2500,168,"ghost, ground"
771,pyukumuku,3,12,144,water
772,type-null,19,1205,107,normal
773,silvally,23,1005,257,normal
774,minior-red-meteor,3,400,154,"rock, flying"
775,komala,4,199,168,normal
776,turtonator,20,2120,170,"fire, dragon"
777,togedemaru,3,33,152,"electric, steel"
778,mimikyu-disguised,2,7,167,"ghost, fairy"
779,bruxish,9,190,166,"water, psychic"
780,drampa,30,1850,170,"normal, dragon"
781,dhelmise,39,2100,181,"ghost, grass"
782,jangmo-o,6,297,60,dragon
783,hakamo-o,12,470,147,"dragon, fighting"
784,kommo-o,16,782,270,"dragon, fighting"
785,tapu-koko,18,205,257,"electric, fairy"
786,tapu-lele,12,186,257,"psychic, fairy"
787,tapu-bulu,19,455,257,"grass, fairy"
788,tapu-fini,13,212,257,"water, fairy"
789,cosmog,2,1,40,psychic
790,cosmoem,1,9999,140,psychic
791,solgaleo,34,2300,306,"psychic, steel"
792,lunala,40,1200,306,"psychic, ghost"
793,nihilego,12,555,257,"rock, poison"
794,buzzwole,24,3336,257,"bug, fighting"
795,pheromosa,18,250,257,"bug, fighting"
796,xurkitree,38,1000,257,electric
797,celesteela,92,9999,257,"steel, flying"
798,kartana,3,1,257,"grass, steel"
799,guzzlord,55,8880,257,"dark, dragon"
800,necrozma,24,2300,270,psychic
801,magearna,10,805,270,"steel, fairy"
802,marshadow,7,222,270,"fighting, ghost"
803,poipole,6,18,189,poison
804,naganadel,36,1500,243,"poison, dragon"
805,stakataka,55,8200,257,"rock, steel"
806,blacephalon,18,130,257,"fire, ghost"
807,zeraora,15,445,270,electric
808,meltan,2,80,135,steel
809,melmetal,25,8000,270,steel
810,grookey,3,50,62,grass
811,thwackey,7,140,147,grass
812,rillaboom,21,900,265,grass
813,scorbunny,3,45,62,fire
814,raboot,6,90,147,fire
815,cinderace,14,330,265,fire
816,sobble,3,40,62,water
817,drizzile,7,115,147,water
818,inteleon,19,452,265,water
819,skwovet,3,25,55,normal
820,greedent,6,60,161,normal
821,rookidee,2,18,49,flying
822,corvisquire,8,160,128,flying
823,corviknight,22,750,248,"flying, steel"
824,blipbug,4,80,36,bug
825,dottler,4,195,117,"bug, psychic"
826,orbeetle,4,408,253,"bug, psychic"
827,nickit,6,89,49,dark
828,thievul,12,199,159,dark
829,gossifleur,4,22,50,grass
830,eldegoss,5,25,161,grass
831,wooloo,6,60,122,normal
832,dubwool,13,430,172,normal
833,chewtle,3,85,57,water
834,drednaw,10,1155,170,"water, rock"
835,yamper,3,135,54,electric
836,boltund,10,340,172,electric
837,rolycoly,3,120,48,rock
838,carkol,11,780,144,"rock, fire"
839,coalossal,28,3105,255,"rock, fire"
840,applin,2,5,52,"grass, dragon"
841,flapple,3,10,170,"grass, dragon"
842,appletun,4,130,170,"grass, dragon"
843,silicobra,22,76,63,ground
844,sandaconda,38,655,179,ground
845,cramorant,8,180,166,"flying, water"
846,arrokuda,5,10,56,water
847,barraskewda,13,300,172,water
848,toxel,4,110,48,"electric, poison"
849,toxtricity-amped,16,400,176,"electric, poison"
850,sizzlipede,7,10,61,"fire, bug"
851,centiskorch,30,1200,184,"fire, bug"
852,clobbopus,6,40,62,fighting
853,grapploct,16,390,168,fighting
854,sinistea,1,2,62,ghost
855,polteageist,2,4,178,ghost
856,hatenna,4,34,53,psychic
857,hattrem,6,48,130,psychic
858,hatterene,21,51,255,"psychic, fairy"
859,impidimp,4,55,53,"dark, fairy"
860,morgrem,8,125,130,"dark, fairy"
861,grimmsnarl,15,610,255,"dark, fairy"
862,obstagoon,16,460,260,"dark, normal"
863,perrserker,8,280,154,steel
864,cursola,10,4,179,ghost
865,sirfetchd,8,1170,177,fighting
866,mr-rime,15,582,182,"ice, psychic"
867,runerigus,16,666,169,"ground, ghost"
868,milcery,2,3,54,fairy
869,alcremie,3,5,173,fairy
870,falinks,30,620,165,fighting
871,pincurchin,3,10,152,electric
872,snom,3,38,37,"ice, bug"
873,frosmoth,13,420,166,"ice, bug"
874,stonjourner,25,5200,165,rock
875,eiscue-ice,14,890,165,ice
876,indeedee-male,9,280,166,"psychic, normal"
877,morpeko-full-belly,3,30,153,"electric, dark"
878,cufant,12,1000,66,steel
879,copperajah,30,6500,175,steel
880,dracozolt,18,1900,177,"electric, dragon"
881,arctozolt,23,1500,177,"electric, ice"
882,dracovish,23,2150,177,"water, dragon"
883,arctovish,20,1750,177,"water, ice"
884,duraludon,18,400,187,"steel, dragon"
885,dreepy,5,20,54,"dragon, ghost"
886,drakloak,14,110,144,"dragon, ghost"
887,dragapult,30,500,300,"dragon, ghost"
888,zacian,28,1100,335,fairy
889,zamazenta,29,2100,335,fighting
890,eternatus,200,9500,345,"poison, dragon"
891,kubfu,6,120,77,fighting
892,urshifu-single-strike,19,1050,275,"fighting, dark"
893,zarude,18,700,300,"dark, grass"
894,regieleki,12,1450,290,electric
895,regidrago,21,2000,290,dragon
896,glastrier,22,8000,290,ice
897,spectrier,20,445,290,ghost
898,calyrex,11,77,250,"psychic, grass"
899,wyrdeer,18,951,263,"normal, psychic"
900,kleavor,18,890,175,"bug, rock"
901,ursaluna,24,2900,275,"ground, normal"
902,basculegion-male,30,1100,265,"water, ghost"
903,sneasler,13,430,102,"fighting, poison"
904,overqwil,25,605,179,"dark, poison"
905,enamorus-incarnate,16,480,116,"fairy, flying"
906,sprigatito,4,41,62,grass
907,floragato,9,122,144,grass
908,meowscarada,15,312,265,"grass, dark"
909,fuecoco,4,98,62,fire
910,crocalor,10,307,144,fire
911,skeledirge,16,3265,265,"fire, ghost"
912,quaxly,5,61,62,water
913,quaxwell,12,215,144,water
914,quaquaval,18,619,265,"water, fighting"
915,lechonk,5,102,51,normal
916,oinkologne-male,10,1200,171,normal
917,tarountula,3,40,42,bug
918,spidops,10,165,141,bug
919,nymble,2,10,42,bug
920,lokix,10,175,158,"bug, dark"
921,pawmi,3,25,48,electric
922,pawmo,4,65,123,"electric, fighting"
923,pawmot,9,410,245,"electric, fighting"
924,tandemaus,3,18,61,normal
925,maushold-family-of-four,3,28,165,normal
926,fidough,3,109,62,fairy
927,dachsbun,5,149,167,fairy
928,smoliv,3,65,52,"grass, normal"
929,dolliv,6,119,124,"grass, normal"
930,arboliva,14,482,255,"grass, normal"
931,squawkabilly-green-plumage,6,24,146,"normal, flying"
932,nacli,4,160,56,rock
933,naclstack,6,1050,124,rock
934,garganacl,23,2400,250,rock
935,charcadet,6,105,51,fire
936,armarouge,15,850,263,"fire, psychic"
937,ceruledge,16,620,263,"fire, ghost"
938,tadbulb,3,4,54,electric
939,bellibolt,12,1130,173,electric
940,wattrel,4,36,56,"electric, flying"
941,kilowattrel,14,386,172,"electric, flying"
942,maschiff,5,160,68,dark
943,mabosstiff,11,610,177,dark
944,shroodle,2,7,58,"poison, normal"
945,grafaiai,7,272,170,"poison, normal"
946,bramblin,6,6,55,"grass, ghost"
947,brambleghast,12,60,168,"grass, ghost"
948,toedscool,9,330,67,"ground, grass"
949,toedscruel,19,580,180,"ground, grass"
950,klawf,13,790,158,rock
951,capsakid,3,30,61,grass
952,scovillain,9,150,170,"grass, fire"
953,rellor,2,10,54,bug
954,rabsca,3,35,165,"bug, psychic"
955,flittle,2,15,51,psychic
956,espathra,19,900,168,psychic
957,tinkatink,4,89,59,"fairy, steel"
958,tinkatuff,7,591,133,"fairy, steel"
959,tinkaton,7,1128,253,"fairy, steel"
960,wiglett,12,18,49,water
961,wugtrio,12,54,149,water
962,bombirdier,15,429,243,"flying, dark"
963,finizen,13,602,63,water
964,palafin-zero,13,602,160,water
965,varoom,10,350,60,"steel, poison"
966,revavroom,18,1200,175,"steel, poison"
967,cyclizar,16,630,175,"dragon, normal"
968,orthworm,25,3100,240,steel
969,glimmet,7,80,70,"rock, poison"
970,glimmora,15,450,184,"rock, poison"
971,greavard,6,350,58,ghost
972,houndstone,20,150,171,ghost
973,flamigo,16,370,175,"flying, fighting"
974,cetoddle,12,450,67,ice
975,cetitan,45,7000,182,ice
976,veluza,25,900,167,"water, psychic"
977,dondozo,120,2200,265,water
978,tatsugiri-curly,3,80,166,"dragon, water"
979,annihilape,12,560,268,"fighting, ghost"
980,clodsire,18,2230,151,"poison, ground"
981,farigiraf,32,1600,260,"normal, psychic"
982,dudunsparce-two-segment,36,392,182,normal
983,kingambit,20,1200,275,"dark, steel"
984,great-tusk,22,3200,285,"ground, fighting"
985,scream-tail,12,80,285,"fairy, psychic"
986,brute-bonnet,12,210,285,"grass, dark"
987,flutter-mane,14,40,285,"ghost, fairy"
988,slither-wing,32,920,285,"bug, fighting"
989,sandy-shocks,23,600,285,"electric, ground"
990,iron-treads,9,2400,285,"ground, steel"
991,iron-bundle,6,110,285,"ice, water"
992,iron-hands,18,3807,285,"fighting, electric"
993,iron-jugulis,13,1110,285,"dark, flying"
994,iron-moth,12,360,285,"fire, poison"
995,iron-thorns,16,3030,285,"rock, electric"
996,frigibax,5,170,64,"dragon, ice"
997,arctibax,8,300,148,"dragon, ice"
998,baxcalibur,21,2100,300,"dragon, ice"
999,gimmighoul,3,50,60,ghost
1000,gholdengo,12,300,275,"steel, ghost"
